"name","lc","mean.D","CI.upper","CI.lower"
"Acid.phosphatase","Cropland",-0.243758032070937,0.337475853072273,-0.735552343498548
"Acid.phosphatase","Grassland",0.0907603356038814,0.669663664873263,-0.44448048914003
"Acid.phosphatase","Other",-0.0303857163542778,1.12636966269495,-0.869506585310339
"Acid.phosphatase","Woodland",-0.100496611329808,0.390101290246591,-0.592885002944369
"Basal_respiration","Cropland",-0.403841124174105,0.184872608340195,-0.89312055376352
"Basal_respiration","Grassland",0.134426676698274,0.71663155717849,-0.39931842522767
"Basal_respiration","Other",0.216062275356713,1.31839223093071,-0.66875971855527
"Basal_respiration","Woodland",-0.346360017962404,0.198230219413163,-0.790000443226205
"beta.glucosidase","Cropland",0.00429247572624884,0.541747104021386,-0.528466041684798
"beta.glucosidase","Grassland",0.0419020651935052,0.604349378553608,-0.509128286033516
"beta.glucosidase","Other",0.33971261081463,1.49166534281799,-0.50551111392435
"beta.glucosidase","Woodland",-0.068560088881172,0.447560085147313,-0.535871018827015
"Cellulase","Cropland",-0.278933408631552,0.284158133552492,-0.790147460725226
"Cellulase","Grassland",-0.0689509935059011,0.499654519952359,-0.613774536216042
"Cellulase","Other",0.340568750120871,1.53293534429437,-0.466644547434103
"Cellulase","Woodland",0.152459616413149,0.675857020861714,-0.308781274694508
"Cmic","Cropland",0.367601198366244,0.950468419443525,-0.129601172222204
"Cmic","Grassland",0.00466842688450158,0.566037204012066,-0.54677327703464
"Cmic","Other",0.562789967263759,1.80900337711775,-0.240978003371824
"Cmic","Woodland",-0.0369878053158077,0.467746571093497,-0.515298544229658
"MWD","Cropland",0.0424763322893248,0.578542864584759,-0.491689410698157
"MWD","Grassland",0.0654168923209433,0.626179715398314,-0.487255666606257
"MWD","Other",-0.174700654182362,0.786882300034554,-1.18959936243419
"MWD","Woodland",0.160797727790262,0.658767248750054,-0.325861923085978
"N.actylglucosaminidase","Cropland",0.0408215651146424,0.581025222382632,-0.489669151182705
"N.actylglucosaminidase","Grassland",-0.0281679465565408,0.565814529962256,-0.547832414978396
"N.actylglucosaminidase","Other",0.334956396638197,1.45544310620623,-0.541547088204643
"N.actylglucosaminidase","Woodland",-0.199137643272738,0.439486578871358,-0.544323177100198
"WSA","Cropland",0.180785138132602,0.718892476935669,-0.353474104529005
"WSA","Grassland",-0.00116116137956698,0.543338054006375,-0.569786186952858
"WSA","Other",0.618848783377743,1.73099886785255,-0.308773999899156
"WSA","Woodland",0.0816682773764776,0.573779462374155,-0.409527302215315
"Xylosidase","Cropland",0.160682622777845,0.704706569445866,-0.367506371865685
"Xylosidase","Grassland",0.0702802163361428,0.661935234596994,-0.450892158800952
"Xylosidase","Other",0.053910743089988,1.19737312135667,-0.784221949312336
"Xylosidase","Woodland",-0.296715949586198,0.253684211740104,-0.732837379037918
