"variable","lc","mean.P","quartile75","quartile25","mean.D","CI.upper","CI.lower"
"Acid.phosphatase","Cropland",0.5791544342086,0.807902066236875,0.372822321462185,-0.243758032070937,0.337475853072273,-0.735552343498548
"Acid.phosphatase","Grassland",0.632450221719442,0.814565613667595,0.467919954011427,0.0907603356038814,0.669663664873263,-0.44448048914003
"Acid.phosphatase","Other",0.48297604748294,0.677711002472622,0.260335407498993,-0.0303857163542778,1.12636966269495,-0.869506585310339
"Acid.phosphatase","Woodland",0.596195711969772,0.827894297156285,0.404886302752937,-0.100496611329808,0.390101290246591,-0.592885002944369
"Basal_respiration","Cropland",0.515401001217026,0.765962965223432,0.262770360237836,-0.403841124174105,0.184872608340195,-0.89312055376352
"Basal_respiration","Grassland",0.291906114635645,0.397861141809293,0.119632447820481,0.134426676698274,0.71663155717849,-0.39931842522767
"Basal_respiration","Other",0.249203593906161,0.339056303393565,0.105912090455959,0.216062275356713,1.31839223093071,-0.66875971855527
"Basal_respiration","Woodland",0.514724917285574,0.725897101134167,0.311867082960992,-0.346360017962404,0.198230219413163,-0.790000443226205
"beta.glucosidase","Cropland",0.615285628591667,0.820660714758226,0.426860595315142,0.00429247572624884,0.541747104021386,-0.528466041684798
"beta.glucosidase","Grassland",0.609907131584058,0.823823553438047,0.414044722826483,0.0419020651935052,0.604349378553608,-0.509128286033516
"beta.glucosidase","Other",0.724586768888397,0.887076532880559,0.597149746125365,0.33971261081463,1.49166534281799,-0.50551111392435
"beta.glucosidase","Woodland",0.359153005035953,0.45208621644575,0.244264117796468,-0.068560088881172,0.447560085147313,-0.535871018827015
"Cellulase","Cropland",0.610472181676313,0.810497017614988,0.415621210141526,-0.278933408631552,0.284158133552492,-0.790147460725226
"Cellulase","Grassland",0.491681828866853,0.668153190275103,0.293278474501117,-0.0689509935059011,0.499654519952359,-0.613774536216042
"Cellulase","Other",0.401467513778463,0.555363988871585,0.210081508069774,0.340568750120871,1.53293534429437,-0.466644547434103
"Cellulase","Woodland",0.312219715497247,0.364948946561401,0.241375484209707,0.152459616413149,0.675857020861714,-0.308781274694508
"Cmic","Cropland",0.657634617615478,0.867503811981847,0.490608851098304,0.367601198366244,0.950468419443525,-0.129601172222204
"Cmic","Grassland",0.647382621724606,0.845685834563826,0.475254680768679,0.00466842688450158,0.566037204012066,-0.54677327703464
"Cmic","Other",0.16772247890654,0.215545115299347,0.0900213706186584,0.562789967263759,1.80900337711775,-0.240978003371824
"Cmic","Woodland",0.19000657827384,0.255339263894951,0.0648145594900525,-0.0369878053158077,0.467746571093497,-0.515298544229658
"MWD","Cropland",0.621425672763142,0.832529837174148,0.433816412963863,0.0424763322893248,0.578542864584759,-0.491689410698157
"MWD","Grassland",0.515118439108361,0.730047774968551,0.297227628475367,0.0654168923209433,0.626179715398314,-0.487255666606257
"MWD","Other",0.720303352697959,0.877698184578182,0.586097043405577,-0.174700654182362,0.786882300034554,-1.18959936243419
"MWD","Woodland",0.619534969927164,0.818383346171035,0.436122875521649,0.160797727790262,0.658767248750054,-0.325861923085978
"N.actylglucosaminidase","Cropland",0.59944368017253,0.806998584925156,0.421528411202385,0.0408215651146424,0.581025222382632,-0.489669151182705
"N.actylglucosaminidase","Grassland",0.560164777374212,0.784458209340697,0.355170913772728,-0.0281679465565408,0.565814529962256,-0.547832414978396
"N.actylglucosaminidase","Other",0.675239845100995,0.855448279570531,0.530417330658865,0.334956396638197,1.45544310620623,-0.541547088204643
"N.actylglucosaminidase","Woodland",0.409929828663696,0.537517050254755,0.245458058109151,-0.199137643272738,0.439486578871358,-0.544323177100198
"WSA","Cropland",0.63802827205849,0.844553789845703,0.448980414626419,0.180785138132602,0.718892476935669,-0.353474104529005
"WSA","Grassland",0.624301712801489,0.825367991392571,0.451864619272438,-0.00116116137956698,0.543338054006375,-0.569786186952858
"WSA","Other",0.516541859617291,0.705060738754164,0.31859393926454,0.618848783377743,1.73099886785255,-0.308773999899156
"WSA","Woodland",0.241907032595723,0.342673563810628,0.0834107395371284,0.0816682773764776,0.573779462374155,-0.409527302215315
"Xylosidase","Cropland",0.645770728372676,0.842853125229562,0.47844808614748,0.160682622777845,0.704706569445866,-0.367506371865685
"Xylosidase","Grassland",0.384152613705123,0.560993859882274,0.167510164868238,0.0702802163361428,0.661935234596994,-0.450892158800952
"Xylosidase","Other",0.542694879466426,0.756429681061111,0.327612225955194,0.053910743089988,1.19737312135667,-0.784221949312336
"Xylosidase","Woodland",0.574592380349552,0.783331243770774,0.404693149054719,-0.296715949586198,0.253684211740104,-0.732837379037918
