"lc","Basal_respiration","Cmic","Xylosidase","Cellulase","beta.glucosidase","N.actylglucosaminidase","Acid.phosphatase","MWD","WSA","run"
"Cropland",0.184872608340195,0.950468419443525,0.704706569445866,0.284158133552492,0.541747104021386,0.581025222382632,0.337475853072273,0.578542864584759,0.718892476935669,500.5
"Grassland",0.71663155717849,0.566037204012066,0.661935234596994,0.499654519952359,0.604349378553608,0.565814529962256,0.669663664873263,0.626179715398314,0.543338054006375,500.5
"Other",1.31839223093071,1.80900337711775,1.19737312135667,1.53293534429437,1.49166534281799,1.45544310620623,1.12636966269495,0.786882300034554,1.73099886785255,500.5
"Woodland",0.198230219413163,0.467746571093497,0.253684211740104,0.675857020861714,0.447560085147313,0.439486578871358,0.390101290246591,0.658767248750054,0.573779462374155,500.5
