"lc","Basal_respiration","Cmic","Xylosidase","Cellulase","beta.glucosidase","N.actylglucosaminidase","Acid.phosphatase","MWD","WSA","run"
"Cropland",-0.403841124174105,0.367601198366244,0.160682622777845,-0.278933408631552,0.00429247572624884,0.0408215651146424,-0.243758032070937,0.0424763322893248,0.180785138132602,500.5
"Grassland",0.134426676698274,0.00466842688450158,0.0702802163361428,-0.0689509935059011,0.0419020651935052,-0.0281679465565408,0.0907603356038814,0.0654168923209433,-0.00116116137956698,500.5
"Other",0.216062275356713,0.562789967263759,0.053910743089988,0.340568750120871,0.33971261081463,0.334956396638197,-0.0303857163542778,-0.174700654182362,0.618848783377743,500.5
"Woodland",-0.346360017962404,-0.0369878053158077,-0.296715949586198,0.152459616413149,-0.068560088881172,-0.199137643272738,-0.100496611329808,0.160797727790262,0.0816682773764776,500.5
