LUCAS_ID,FID,CONTAINER_,Country,X_LAEA,Y_LAEA,Year,LC,Specific,Broad,Ours,Bas,MIRR,Cmic,qO2,H2O_FW
34003734,53,285,UK,3400000,3734000,2018,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,2.906282183,34.33401991,913.2849296,0.003182229,35.27745376
34161996,68,365,SPAIN,3416000,1996000,2018,Shrubland without tree cover,Shrubland without tree cover,Shrubland,Other,1.764933308,11.55229074,307.2909337,0.005743525,14.59468384
34201972,13,58,SPAIN,3420000,1972000,2018,Other bare soil,Other bare soil,Bare land and lichens/moss,Other,8.0847009,62.09987648,1651.856714,0.004894311,37.03333333
34242272,77,416,SPAIN,3424000,2272000,2018,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,2.412289807,24.0654626,640.1413051,0.003768371,19.17785235
34382156,8,41,SPAIN,3438000,2156000,2018,Spontaneously re-vegetated surfaces,Spontaneously re-vegetated surfaces,Grassland,Grassland,1.092528068,13.87082204,368.9638663,0.002961071,13.82819016
34662184,80,432,SPAIN,3466000,2184000,2018,Shrubland with sparse tree cover,Shrubland with sparse tree cover,Shrubland,Other,1.463818182,16.19757576,430.8555152,0.003397469,8.363878707
34882068,139,782,SPAIN,3488000,2068000,2018,Other fruit trees and berries,Permanent crops: fruit trees,Cropland,Agriculture,0.226004084,4.802586794,127.7488087,0.001769129,2.634631317
34902982,109,602,FRANCE,3490000,2982000,2018,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,1.846496107,11.23285132,298.793845,0.006179833,10.54726368
35002236,67,360,FRANCE,3500000,2236000,2018,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,3.103001017,27.23041709,724.3290946,0.004283966,35.09409046
35402092,132,741,SPAIN,3540000,2092000,2018,Olive groves,Other permanent crops,Cropland,Agriculture,0.461031071,18.00902621,479.0400972,0.000962406,4.413472706
35423508,84,452,UK,3542000,3508000,2018,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,1.444790855,20.7014809,550.659392,0.002623747,36.17973802
35702100,51,276,SPAIN,3570000,2100000,2018,Barley,Cereals,Cropland,Agriculture,0,19.56610864,520.4584899,0,2.886529529
35742886,105,573,FRANCE,3574000,2886000,2018,Maize,Cereals,Cropland,Agriculture,0.671038448,8.350700683,222.1286382,0.003020945,8.52917009
36462652,16,82,FRANCE,3646000,2652000,2018,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,1.045137544,8.89706832,236.6620173,0.004416161,15.1823858
36722782,145,807,FRANCE,3672000,2782000,2018,Rape and turnip rape,Non-permanent industrial crops,Cropland,Agriculture,0.652026424,10.62012736,282.4953877,0.002308096,7.482656095
37162926,121,643,FRANCE,3716000,2926000,2018,Maize,Cereals,Cropland,Agriculture,0.938218671,8.573377509,228.0518417,0.004114059,15.42772375
37342800,123,649,FRANCE,3734000,2800000,2018,Pine dominated mixed woodland,Mixed woodland,Woodland,Forest,0.784389219,3.340917046,88.86839342,0.008826414,5.004156276
37362918,73,404,FRANCE,3736000,2918000,2018,Common wheat,Cereals,Cropland,Agriculture,0.841848234,13.7709742,366.3079138,0.002298198,11.73740053
37382484,92,481,FRANCE,3738000,2484000,2018,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,3.340616375,34.42425636,915.6852193,0.003648215,28.26266293
37562340,103,564,FRANCE,3756000,2340000,2018,Broadleaved woodland,Broadleaved woodland,Woodland,Forest,0.983186855,15.96357152,424.6310024,0.002315391,12.82478348
37682420,58,313,FRANCE,3768000,2420000,2018,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,1.908263146,18.32688368,487.4951059,0.003914425,26.97805851
37802362,116,628,FRANCE,3780000,2362000,2018,Pine dominated mixed woodland,Mixed woodland,Woodland,Forest,2.078597573,30.85917935,820.8541707,0.002532237,14.05629139
37902328,32,160,FRANCE,3790000,2328000,2018,Shrubland with sparse tree cover,Shrubland with sparse tree cover,Shrubland,Other,0,20.07535703,534.0044971,0,9.622672598
37922340,40,211,FRANCE,3792000,2340000,2018,Shrubland without tree cover,Shrubland without tree cover,Shrubland,Other,2.474304783,27.32814238,726.9285873,0.00340378,25.89845038
38022398,52,280,FRANCE,3802000,2398000,2018,Pine dominated coniferous woodland,Coniferous woodland,Woodland,Forest,1.894487511,20.43425208,543.5511054,0.00348539,22.72878536
38102416,49,274,FRANCE,3810000,2416000,2018,Shrubland without tree cover,Shrubland without tree cover,Shrubland,Other,2.046333688,16.11193765,428.5775416,0.00477471,22.55144033
38742668,9,42,FRANCE,3874000,2668000,2018,Grassland with sparse tree/shrub cover,Grassland with sparse tree/shrub cover,Grassland,Grassland,2.856853614,29.29675373,779.2936492,0.003665953,18.49834983
38842482,50,275,FRANCE,3884000,2482000,2018,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,3.722067393,24.95397348,663.7756946,0.005607417,34.48962656
