Pair.ID,LUCAS_ID,X_LAEA,Y_LAEA,LC,Specific,Broad,Ours,Bas,MIRR,Cmic,qO2,H2O_FW,Distance,PA
29,30902056,3090000,2056000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,0.929851775,16.68964725,443.9446168,0.002094522,3.701244813,11661.90379,TRUE
30,31122070,3112000,2070000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,0.803617099,6.823164048,181.4961637,0.004427736,9.235615984,16492.4225,TRUE
31,31162082,3116000,2082000,Spontaneously re-vegetated surfaces,Spontaneously re-vegetated surfaces,Grassland,Grassland,1.458771353,4.180902322,111.2120018,0.013117032,13.16502639,25612.49695,TRUE
32,34003734,3400000,3734000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,2.906282183,34.33401991,913.2849296,0.003182229,35.27745376,50990.19514,TRUE
33,47361656,4736000,1656000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,1.125314739,9.538382078,253.7209633,0.004435245,14.59057072,504067.4558,TRUE
34,33363162,3336000,3162000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,3.757279345,22.71989688,604.3492569,0.006217066,26.90389092,264620.483,TRUE
35,34902982,3490000,2982000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,1.846496107,11.23285132,298.793845,0.006179833,10.54726368,35777.08764,TRUE
36,42182510,4218000,2510000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,1.103164557,6.537271449,173.8914205,0.006343985,21.67878387,65513.35742,TRUE
37,34242272,3424000,2272000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,2.412289807,24.0654626,640.1413051,0.003768371,19.17785235,52000,TRUE
38,37382484,3738000,2484000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,3.340616375,34.42425636,915.6852193,0.003648215,28.26266293,16124.5155,TRUE
39,28282190,2828000,2190000,Grassland with sparse tree/shrub cover,Grassland with sparse tree/shrub cover,Grassland,Grassland,1.398137138,11.95270181,317.9418681,0.004397462,15.94202899,45254.834,TRUE
40,34382156,3438000,2156000,Spontaneously re-vegetated surfaces,Spontaneously re-vegetated surfaces,Grassland,Grassland,1.092528068,13.87082204,368.9638663,0.002961071,13.82819016,66753.27707,TRUE
41,35002236,3500000,2236000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,3.103001017,27.23041709,724.3290946,0.004283966,35.09409046,90088.84504,TRUE
42,54202132,5420000,2132000,Spontaneously re-vegetated surfaces,Spontaneously re-vegetated surfaces,Grassland,Grassland,0.373402915,3.933177374,104.6225181,0.003569049,6.9958159,139269.5229,TRUE
43,54382676,5438000,2676000,Grassland without tree/shrub cover,Grassland without tree/shrub cover,Grassland,Grassland,1.355716878,11.82765342,314.6155811,0.004309122,17.88375559,21540.65923,TRUE
