FID	FID_1	LUCAS_ID	FID_	CONTAINER_	Country	X_LAEA	Y_LAEA	Year	LC	Specific	Broad	Ours	Bas	MIRR	Cmic	qO2	H2O_FW	FID_2	LUCAS_ID_1	X_LAEA_1	Y_LAEA_1	LC_1	Specific_1	Broad_1	Ours_1	Bas_1	MIRR_1	Cmic_1	qO2_1	H2O_FW_1	Distance
19	82	41763142	96	517	GERMANY	4176000	3142000	2018	Rape and turnip rape	Non-permanent industrial crops	Cropland	Agriculture	0.85775076	14.295846	380.2695035	0.002255639	17.83216783	409	42603190	4260000	3190000	Common wheat	Cereals	Cropland	Agriculture	0.410745847	6.112289384	162.5868976	0.002526316	5.982053838	96747.09298
20	13	30922224	76	413	SPAIN	3092000	2224000	2018	Barley	Cereals	Cropland	Agriculture	0.859375	12.65625	336.65625	0.002552678	11.33366717	425	30982262	3098000	2262000	Other leguminous and mixtures for fodder	Fodder crops	Cropland	Agriculture	0.311083348	7.011719912	186.5117497	0.001667902	7.019581812	38470.76812
21	0	27162028	60	324	PORTUGAL	2716000	2028000	2018	Olive groves	Other permanent crops	Cropland	Agriculture	0.672559853	25.5267035	679.0103131	0.0009905	9.830621056	429	27982170	2798000	2170000	Floriculture and ornamental plants	"Dry pulses, vegetables, and flowers"	Cropland	Agriculture	1.55985717	17.88636221	475.7772349	0.003278545	10.90087073	163975.6079
22	25	32281848	106	579	SPAIN	3228000	1848000	2018	Common wheat	Cereals	Cropland	Agriculture	0.251727043	10.48862679	278.9974726	0.000902256	1.28077179	446	32281852	3228000	1852000	Durum wheat	Cereals	Cropland	Agriculture	0.131167691	9.424641498	250.6954639	0.000523215	5.898876404	4000
23	65	39082708	126	683	FRANCE	3908000	2708000	2018	Lucerne	Fodder crops	Cropland	Agriculture	0.543371522	22.48954355	598.2218585	0.000908311	9.15248637	449	38942726	3894000	2726000	Barley	Cereals	Cropland	Agriculture	2.150939664	8.154962084	216.9219914	0.009915729	15.43994647	22803.5085
24	66	39122716	112	617	FRANCE	3912000	2716000	2018	Common wheat	Cereals	Cropland	Agriculture	0.414309484	35.54877673	945.597461	0.000438146	9.94005994	449	38942726	3894000	2726000	Barley	Cereals	Cropland	Agriculture	2.150939664	8.154962084	216.9219914	0.009915729	15.43994647	20591.26028
25	6	29281840	63	340	SPAIN	2928000	1840000	2018	Oats	Cereals	Cropland	Agriculture	0	11.65359254	309.9855616	0	2.849569251	482	29281750	2928000	1750000	Barley	Cereals	Cropland	Agriculture	0	14.31602837	380.8063546	0	3.100775194	90000
26	31	33343208	146	813	UK	3334000	3208000	2018	Other root crops	Root crops	Cropland	Agriculture	0.887403943	5.268960909	140.1543602	0.006331619	15.33239038	510	32882938	3288000	2938000	Other fresh vegetables	"Dry pulses, vegetables, and flowers"	Cropland	Agriculture	1.095028681	9.257488846	246.2492033	0.004446831	14.00854982	273890.4891
27	118	50263082	86	459	POLAND	5026000	3082000	2018	Other fresh vegetables	"Dry pulses, vegetables, and flowers"	Cropland	Agriculture	0	7.051871726	187.5797879	0	13.43729263	511	50063158	5006000	3158000	Barley	Cereals	Cropland	Agriculture	0.859335951	3.308937284	88.01773176	0.009763214	6.943521595	78587.53082
28	50	37162926	121	643	FRANCE	3716000	2926000	2018	Maize	Cereals	Cropland	Agriculture	0.938218671	8.573377509	228.0518417	0.004114059	15.42772375	520	36662908	3666000	2908000	Common wheat	Cereals	Cropland	Agriculture	1.473193047	8.758157975	232.9670021	0.006323612	9.189099369	53141.32102
29	68	39783064	118	638	BELGIUM	3978000	3064000	2018	Potatoes	Root crops	Cropland	Agriculture	0.547940899	6.566593314	174.6713822	0.003136982	9.720448418	531	39383058	3938000	3058000	Common wheat	Cereals	Cropland	Agriculture	0.872372372	9.814189189	261.0574324	0.003341688	12.06469714	40447.49683
30	52	37362918	73	404	FRANCE	3736000	2918000	2018	Common wheat	Cereals	Cropland	Agriculture	0.841848234	13.7709742	366.3079138	0.002298198	11.73740053	538	37682906	3768000	2906000	Common wheat	Cereals	Cropland	Agriculture	0.703525332	9.060553522	241.0107237	0.002919062	13.52657005	34176.01498
31	102	46903344	138	781	POLAND	4690000	3344000	2018	Rye	Cereals	Cropland	Agriculture	0.280452779	2.383848623	63.41037337	0.004422822	1.922120961	597	46503360	4650000	3360000	Rape and turnip rape	Non-permanent industrial crops	Cropland	Agriculture	0.595515695	6.649925262	176.888012	0.003366626	7.299634187	43081.31846
32	146	55282384	128	691	BULGARIA	5528000	2384000	2018	Sunflower	Non-permanent industrial crops	Cropland	Agriculture	0.551756885	9.616334283	255.7944919	0.002157032	12.67208492	598	54902386	5490000	2386000	Sunflower	Non-permanent industrial crops	Cropland	Agriculture	0.653298351	27.94665167	743.3809345	0.00087882	10.81397292	38052.59518
33	147	55362256	155	878	BULGARIA	5536000	2256000	2018	Sunflower	Non-permanent industrial crops	Cropland	Agriculture	0.218191377	2.521322584	67.06718075	0.003253326	6.135877611	600	55622354	5562000	2354000	Sunflower	Non-permanent industrial crops	Cropland	Agriculture	0.391435578	10.96019619	291.5412186	0.001342642	11.67944019	101390.3348
34	148	55442260	153	870	BULGARIA	5544000	2260000	2018	Sunflower	Non-permanent industrial crops	Cropland	Agriculture	0.454322386	6.214294702	165.3002391	0.002748468	12.55982835	600	55622354	5562000	2354000	Sunflower	Non-permanent industrial crops	Cropland	Agriculture	0.391435578	10.96019619	291.5412186	0.001342642	11.67944019	95707.88891
35	101	46503324	37	191	POLAND	4650000	3324000	2018	Common wheat	Cereals	Cropland	Agriculture	0.194607268	2.826438899	75.18327472	0.002588438	0.665446681	603	46323328	4632000	3328000	Common wheat	Cereals	Cropland	Agriculture	0.325896841	6.073532036	161.5559522	0.002017238	6.616666667	18439.08891
36	136	53842676	135	752	ROMANIA	5384000	2676000	2018	Lucerne	Fodder crops	Cropland	Agriculture	1.30518346	17.72471365	471.477383	0.002768284	15.14003295	631	53462624	5346000	2624000	Maize	Cereals	Cropland	Agriculture	0.434218175	7.129755215	189.6514887	0.002289558	14.2406115	64404.96875
37	154	57962548	144	805	ROMANIA	5796000	2548000	2018	Common wheat	Cereals	Cropland	Agriculture	0.256219357	6.882755281	183.0812905	0.001399484	8.521594684	676	57762538	5776000	2538000	Sunflower	Non-permanent industrial crops	Cropland	Agriculture	0.396988485	10.58635961	281.5971656	0.001409774	5.948017328	22360.67978
38	155	64141632	149	840	CYPRUS	6414000	1632000	2018	Other fruit trees and berries	Permanent crops: fruit trees	Cropland	Agriculture	0.457015986	13.41563055	356.8557726	0.001280674	6.38510143	686	64601638	6460000	1638000	Common wheat	Cereals	Cropland	Agriculture	0.201003287	28.18831805	749.8092602	0.000268073	4.398875475	46389.65402
