FID	FID_1	LUCAS_ID	FID_	CONTAINER_	Country	X_LAEA	Y_LAEA	Year	LC	Specific	Broad	Ours	Bas	MIRR	Cmic	qO2	H2O_FW	FID_2	LUCAS_ID_1	X_LAEA_1	Y_LAEA_1	LC_1	Specific_1	Broad_1	Ours_1	Bas_1	MIRR_1	Cmic_1	qO2_1	H2O_FW_1	Distance
13	121	50943268	107	587	POLAND	5094000	3268000	2018	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	0.665648272	9.350773344	248.7305709	0.002676182	12.81837856	120	50863206	5086000	3206000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	0.778903904	11.11236236	295.5888388	0.002635092	11.12593828	62513.99843
14	115	48942888	45	245	SLOVAKIA	4894000	2888000	2018	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	1.162376987	15.96959374	424.7911935	0.002736349	12.58891646	127	50022946	5002000	2946000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	2.497313561	19.32445018	514.0303747	0.0048583	22.59191482	122588.7434
15	74	40383202	15	75	NETHERLAND	4038000	3202000	2018	Grassland with sparse tree/shrub cover	Grassland with sparse tree/shrub cover	Grassland	Grassland	0.859088433	9.243992494	245.8902004	0.003493789	8.688443044	142	40723226	4072000	3226000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	0.928065598	8.971300783	238.6366008	0.003889033	11.56888596	41617.30409
16	89	42583038	30	150	GERMANY	4258000	3038000	2018	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	1.682776981	13.59819783	361.7120623	0.004652256	18.61666667	143	42223056	4222000	3056000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	1.452031603	16.70617005	444.3841234	0.003267515	11.69435216	40249.2236
17	90	42683042	33	170	GERMANY	4268000	3042000	2018	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	2.41489118	26.87437953	714.8584956	0.003378139	27.68389662	143	42223056	4222000	3056000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	1.452031603	16.70617005	444.3841234	0.003267515	11.69435216	48083.26112
18	93	43283052	28	143	GERMANY	4328000	3052000	2018	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	3.353003384	31.9500846	849.8722504	0.003945303	32.45714286	143	42223056	4222000	3056000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	1.452031603	16.70617005	444.3841234	0.003267515	11.69435216	106075.4448
19	92	43022764	29	144	GERMANY	4302000	2764000	2018	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	1.969776876	21.94252874	583.6712644	0.003374805	18.36396754	149	43122714	4312000	2714000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	3.139006236	26.04707302	692.8521424	0.004530557	28.99585773	50990.19514
20	21	31721688	35	174	SPAIN	3172000	1688000	2018	Grassland with sparse tree/shrub cover	Grassland with sparse tree/shrub cover	Grassland	Grassland	1.392067877	23.52867666	625.8627993	0.002224238	16.6858458	151	32361730	3236000	1730000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	0.8000378	6.640836641	176.6462546	0.004529039	10.50405954	76550.63684
21	96	45123304	4	25	GERMANY	4512000	3304000	2018	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	3.700966635	16.90884523	449.7752832	0.008228479	46.63005492	159	43663228	4366000	3228000	Spontaneously re-vegetated surfaces	Spontaneously re-vegetated surfaces	Grassland	Grassland	1.175399555	21.49302043	571.7143435	0.002055921	17.68526228	164596.4763
22	109	47903032	41	223	POLAND	4790000	3032000	2018	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	1.804778973	19.50219036	518.7582636	0.003479037	31.16776316	191	47182946	4718000	2946000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	0.860995851	10.84854772	288.5713693	0.00298365	20.33057851	112160.5991
23	113	48483018	46	251	CZECH REPUBLIC	4848000	3018000	2018	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	2.876416739	28.64356292	761.9187736	0.003775228	24.4400527	191	47182946	4718000	2946000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	0.860995851	10.84854772	288.5713693	0.00298365	20.33057851	148606.8639
24	131	52383540	38	195	LITHUANIA	5238000	3540000	2018	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	1.062950938	4.840668591	128.7617845	0.008255174	7.104557641	192	52423612	5242000	3612000	Grassland with sparse tree/shrub cover	Grassland with sparse tree/shrub cover	Grassland	Grassland	0.625740442	13.50804763	359.3140669	0.001741486	8.160237389	72111.02551
25	55	37682420	58	313	FRANCE	3768000	2420000	2018	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	1.908263146	18.32688368	487.4951059	0.003914425	26.97805851	224	37922448	3792000	2448000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	1.558380598	21.37362279	568.5383663	0.00274103	15.16509043	36878.17783
26	62	38842482	50	275	FRANCE	3884000	2482000	2018	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	3.722067393	24.95397348	663.7756946	0.005607417	34.48962656	224	37922448	3792000	2448000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	1.558380598	21.37362279	568.5383663	0.00274103	15.16509043	98081.59868
27	23	31783686	148	832	IRELAND	3178000	3686000	2018	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	0.826022853	6.322644059	168.182332	0.004911472	10.12092099	274	31063480	3106000	3480000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	0.501510574	7.719329424	205.3341627	0.002442412	5.093607691	218220.0724
28	12	30902056	122	647	SPAIN	3090000	2056000	2018	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	0.929851775	16.68964725	443.9446168	0.002094522	3.701244813	285	30962066	3096000	2066000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	2.476072094	14.15717147	376.580761	0.006575142	20.45154911	11661.90379
29	14	31122070	56	301	SPAIN	3112000	2070000	2018	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	0.803617099	6.823164048	181.4961637	0.004427736	9.235615984	285	30962066	3096000	2066000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	2.476072094	14.15717147	376.580761	0.006575142	20.45154911	16492.4225
30	15	31162082	57	307	SPAIN	3116000	2082000	2018	Spontaneously re-vegetated surfaces	Spontaneously re-vegetated surfaces	Grassland	Grassland	1.458771353	4.180902322	111.2120018	0.013117032	13.16502639	285	30962066	3096000	2066000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	2.476072094	14.15717147	376.580761	0.006575142	20.45154911	25612.49695
31	35	34003734	53	285	UK	3400000	3734000	2018	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	2.906282183	34.33401991	913.2849296	0.003182229	35.27745376	295	34383700	3438000	3700000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	7.221941992	51.19903321	1361.894283	0.005302865	47.51819987	50990.19514
32	106	47361656	69	368	ITALY	4736000	1656000	2018	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	1.125314739	9.538382078	253.7209633	0.004435245	14.59057072	321	45762134	4576000	2134000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	1.32618862	13.63925695	362.8042349	0.003655384	14.80743692	504067.4558
33	32	33363162	65	353	UK	3336000	3162000	2018	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	3.757279345	22.71989688	604.3492569	0.006217066	26.90389092	330	34862944	3486000	2944000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	1.146197754	25.11446634	668.0448045	0.00171575	9.468244707	264620.483
34	42	34902982	109	602	FRANCE	3490000	2982000	2018	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	1.846496107	11.23285132	298.793845	0.006179833	10.54726368	333	35062950	3506000	2950000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	0.981641659	19.43748161	517.0370109	0.001898591	7.404380517	35777.08764
35	85	42182510	61	337	ITALY	4218000	2510000	2018	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	1.103164557	6.537271449	173.8914205	0.006343985	21.67878387	338	41622476	4162000	2476000	Grassland without tree/shrub cover	Grassland without tree/shrub cover	Grassland	Grassland	1.081041968	9.323272001	247.9990352	0.004359057	18.3628692	65513.35742
