LUCAS_ID,Pair.ID,LC,Bas,Cmic,Xylosidase,Cellulase,beta.glucosidase,N.actylglucosaminidase,Acid.phosphatase,MWD,WSA,Distance,PA
38842482,27,Grassland,3.722067393,663.7756946,324.43,87.41,521.56,212.48,1461.02,1.490283019,95,98081.59868,TRUE
31063480,28,Grassland,0.501510574,205.3341627,64.44,29.75,183.25,82.24,489.9,0.605251852,76.19047619,218220.0724,FALSE
31783686,28,Grassland,0.826022853,168.182332,17.71,2.95,60.46,83.94,533.14,1.340978648,66.66666667,218220.0724,TRUE
30902056,29,Grassland,0.929851775,443.9446168,33.52,27.47,407.88,136.6,383.27,0.820070776,58.33333333,11661.90379,TRUE
30962066,29,Grassland,2.476072094,376.580761,178.9,50.6,455.37,427.77,1174.04,1.043444206,84.21052632,11661.90379,FALSE
30962066,30,Grassland,2.476072094,376.580761,178.9,50.6,455.37,427.77,1174.04,1.043444206,84.21052632,16492.4225,FALSE
31122070,30,Grassland,0.803617099,181.4961637,112.03,34.86,369.52,253.17,739.6,1.289148837,62.5,16492.4225,TRUE
30962066,31,Grassland,2.476072094,376.580761,178.9,50.6,455.37,427.77,1174.04,1.043444206,84.21052632,25612.49695,FALSE
31162082,31,Grassland,1.458771353,111.2120018,44.31,23.06,266.87,101.19,226.33,1.747469052,54.54545455,25612.49695,TRUE
34003734,32,Grassland,2.906282183,913.2849296,106.53,43.51,344.52,166.13,1078.89,1.703059055,93.93939394,50990.19514,TRUE
34383700,32,Grassland,7.221941992,1361.894283,214.42,85.07,610.02,279.31,2248.31,1.501221429,92.59259259,50990.19514,FALSE
45762134,33,Grassland,1.32618862,362.8042349,22.68,26.69,280.28,245.57,311.58,1.292704981,71.42857143,504067.4558,FALSE
47361656,33,Grassland,1.125314739,253.7209633,65.9,69.28,555.76,447.5,607.93,2.135802846,85.71428571,504067.4558,TRUE
33363162,34,Grassland,3.757279345,604.3492569,104.35,44.31,374.5,101.05,985.39,1.894217703,88.57142857,264620.483,TRUE
34862944,34,Grassland,1.146197754,668.0448045,42.65,38.31,311.28,245.73,554.36,1.860355183,100,264620.483,FALSE
34902982,35,Grassland,1.846496107,298.793845,88.19,45.83,317.49,226.66,870.77,1.046679032,67.64705882,35777.08764,TRUE
35062950,35,Grassland,0.981641659,517.0370109,117.37,79.47,486.1,151.12,807.1,1.598174267,70.27027027,35777.08764,FALSE
41622476,36,Grassland,1.081041968,247.9990352,45.84,26.41,190.26,75.54,600.9,1.826609971,68.42105263,65513.35742,FALSE
42182510,36,Grassland,1.103164557,173.8914205,71.5,38.44,364.43,100.11,870.84,0.978126866,55.55555556,65513.35742,TRUE
34242272,37,Grassland,2.412289807,640.1413051,146.09,57.42,410.93,201.08,1167.88,1.658939655,92.10526316,52000,TRUE
34442320,37,Grassland,1.358342189,401.9869642,157.05,81.21,397.68,322.96,550.9,2.218837778,91.66666667,52000,FALSE
37222482,38,Grassland,2.310106593,687.1229109,189.18,171.43,762.22,211.77,1037.38,1.689878521,75,16124.5155,FALSE
37382484,38,Grassland,3.340616375,915.6852193,254.54,87.01,490.14,132.66,1224.65,0.960645161,42.42424242,16124.5155,TRUE
28282190,39,Grassland,1.398137138,317.9418681,99.31,51.88,411.69,153.22,923.08,1.268095142,65,45254.834,TRUE
28602222,39,Grassland,0.460723297,132.455621,31.86,19.95,160.54,97.47,332.91,1.193621101,40,45254.834,FALSE
34382156,40,Grassland,1.092528068,368.9638663,102.37,44.91,426.23,85.36,116.76,2.182822835,41.93548387,66753.27707,TRUE
35042146,40,Grassland,0.97808875,654.4942,81.68,101.91,591.1,197.67,274.82,1.511100775,87.5,66753.27707,FALSE
35002236,41,Grassland,3.103001017,724.3290946,979.28,239.96,1129.66,354.06,2247.16,1.513550802,79.31034483,90088.84504,TRUE
35042146,41,Grassland,0.97808875,654.4942,81.68,101.91,591.1,197.67,274.82,1.511100775,87.5,90088.84504,FALSE
53902268,42,Grassland,1.096372093,424.4452713,100.35,89.46,546.52,369.1,589.89,1.845827731,83.33333333,139269.5229,FALSE
54202132,42,Grassland,0.373402915,104.6225181,12.19,12.63,141.77,39.7,201.63,1.019663408,33.33333333,139269.5229,TRUE
54382676,43,Grassland,1.355716878,314.6155811,42.44,38.16,304.83,144.47,383.41,2.144411232,89.47368421,21540.65923,TRUE
54462696,43,Grassland,0.761619789,214.3352617,93.19,54.9,438.76,81.06,572.66,2.209181159,84.21052632,21540.65923,FALSE
50882638,44,Grassland,0.986517651,73.11028325,12.86,7.15,26.21,22.08,37.57,1.263151142,10.81081081,169198.1087,TRUE
52362556,44,Grassland,0.609586394,247.4920758,14.87,19.76,207.89,92.85,229.52,2.141107029,83.33333333,169198.1087,FALSE
52042676,45,Grassland,1.410320957,385.9520313,72.78,115.17,535.31,283.64,1145.99,1.626866071,78.94736842,124193.3976,TRUE
52362556,45,Grassland,0.609586394,247.4920758,14.87,19.76,207.89,92.85,229.52,2.141107029,83.33333333,124193.3976,FALSE
54382628,46,Grassland,1.514006515,437.8843286,71.93,94.34,588.28,316.92,421.57,2.444124046,94.87179487,65604.87787,TRUE
54902668,46,Grassland,1.774425574,769.0172494,67.42,88.18,584.54,326.5,553.01,1.927404362,94.59459459,65604.87787,FALSE
55382862,47,Grassland,0.482932506,224.0914145,43.13,85.94,541.08,106.1,424.63,1.806148148,57.89473684,25298.22128,FALSE
55622854,47,Grassland,0.727934316,288.3858929,61.01,67.26,438.6,179.8,623.84,2.087715719,92.30769231,25298.22128,TRUE
33863294,48,Grassland,9.239524703,1198.940796,321.83,46.86,389.17,320.34,2835.22,1.129949495,84.375,141322.3266,TRUE
34503420,48,Grassland,2.938892062,439.9068469,56.96,40.71,425.13,160.8,606.59,1.862301136,78.78787879,141322.3266,FALSE
34503420,49,Grassland,2.938892062,439.9068469,56.96,40.71,425.13,160.8,606.59,1.862301136,78.78787879,127310.6437,FALSE
35423508,49,Grassland,1.444790855,550.659392,46.71,7.91,130.85,83.5,1097.2,1.206405512,85.71428571,127310.6437,TRUE
49803394,50,Forest,0.478629579,151.0310945,93.97,29.42,236.37,116.42,432.32,0.578540373,68.18181818,88543.77448,TRUE
50083478,50,Forest,0.893907732,102.9194663,37.82,8.53,92.4,41.29,342.96,1.387734581,66.66666667,88543.77448,FALSE
50083478,51,Forest,0.893907732,102.9194663,37.82,8.53,92.4,41.29,342.96,1.387734581,66.66666667,100019.998,FALSE
51083476,51,Forest,0.701811907,82.54644809,9.15,3.17,40.2,38.66,220.77,0.300063604,13.79310345,100019.998,TRUE
50083478,52,Forest,0.893907732,102.9194663,37.82,8.53,92.4,41.29,342.96,1.387734581,66.66666667,149893.2954,FALSE
51363400,52,Forest,1.222954634,176.9207703,25.97,19.33,229.54,82,292.65,0.414555249,7.894736842,149893.2954,TRUE
33062044,53,Forest,0.618085106,302.7243499,36.62,31.12,280.57,103.94,110.08,1.668992405,75.75757576,72138.75519,TRUE
33581994,53,Forest,1.360430464,266.836755,23.92,33.13,343.43,169.69,285.95,1.96764791,21.73913043,72138.75519,FALSE
31542332,54,Forest,3.046626984,454.1175926,98.73,29.09,355.31,148.51,1494.8,2.069612595,81.25,74242.84477,TRUE
32202298,54,Forest,1.605474453,257.8452555,17.68,30.06,309.66,329.13,232.79,0.746562081,44.44444444,74242.84477,FALSE
32202298,55,Forest,1.605474453,257.8452555,17.68,30.06,309.66,329.13,232.79,0.746562081,44.44444444,42941.82111,FALSE
32402336,55,Forest,2.149893843,335.935598,183.95,129.75,771.53,710.94,1302.27,1.155021583,62.85714286,42941.82111,TRUE
39023026,56,Forest,1.138322884,136.978187,70.65,7.52,109.52,98.19,943.52,1.730593074,78.37837838,213354.1657,TRUE
40102842,56,Forest,1.883007117,851.168446,96.11,135.14,897.82,581.26,1425.43,2.173452663,97.43589744,213354.1657,FALSE
40002866,57,Forest,3.345522543,785.9333749,70.52,74.51,457,236.39,505.78,2.148685083,94.87179487,26000,TRUE
40102842,57,Forest,1.883007117,851.168446,96.11,135.14,897.82,581.26,1425.43,2.173452663,97.43589744,26000,FALSE
49704436,58,Forest,1.109465318,260.5544316,61.79,35.67,308.83,278.71,895.27,0.795521226,68.18181818,40049.96879,FALSE
49724396,58,Forest,0.584908903,74.63057179,48.8,8.9,115.39,119.77,426.31,0.597842043,52.63157895,40049.96879,TRUE
41102514,59,Forest,1.112903226,145.8709677,21.81,10.53,166.45,165.95,206.69,1.616659389,50,91301.69768,FALSE
41902558,59,Forest,1.994279176,478.5531401,115.73,171.84,963.98,248.75,1248.44,0.583019444,37.14285714,91301.69768,TRUE
52364076,60,Forest,1.268222176,398.13036,70.27,114.64,854.72,264.68,981.04,1.325077586,70.96774194,23409.39982,FALSE
52584068,60,Forest,0.952825112,368.2966816,27.75,16.57,219.11,137.91,487.58,0.834643817,63.63636364,23409.39982,TRUE
46162668,61,Forest,4.990790899,609.9555796,312.61,80.51,711.92,537.53,1810.57,1.38526699,72.22222222,34058.77273,FALSE
46422690,61,Forest,13.37333736,1583.991939,276.78,72.93,847.26,184.07,2921.7,1.236928571,87.5,34058.77273,TRUE
46282880,62,Forest,0.485466147,200.8751034,28.05,6.94,98.72,74.14,506.28,1.084786026,63.33333333,45122.05669,TRUE
46382836,62,Forest,3.044657097,491.013468,337.87,65.69,682.63,205.27,1967.9,1.539879167,75,45122.05669,FALSE
37802362,63,Forest,2.078597573,820.8541707,40.34,24.86,350.32,321.12,864.81,2.234610169,96.15384615,60000,TRUE
38282398,63,Forest,2.633008501,425.7213353,56.54,9.5,140.82,386.06,2034.99,1.253095628,56,60000,FALSE
38022398,64,Forest,1.894487511,543.5511054,66.53,114.41,927.43,462.59,1047.47,2.283625767,94.28571429,26000,TRUE
38282398,64,Forest,2.633008501,425.7213353,56.54,9.5,140.82,386.06,2034.99,1.253095628,56,26000,FALSE
40783218,65,Forest,0.821156773,107.8136733,51.01,8.84,93.61,140.13,717.98,0.411281818,60,60959.00262,TRUE
41243258,65,Forest,2.47146402,219.1364764,404.16,46.74,375.59,322.95,1550.95,1.190389474,53.84615385,60959.00262,FALSE
41243258,66,Forest,2.47146402,219.1364764,404.16,46.74,375.59,322.95,1550.95,1.190389474,53.84615385,80224.68448,FALSE
41303178,66,Forest,0.521337521,61.18049141,162.4,11.18,126.27,36.21,709.88,0.453416223,36.66666667,80224.68448,TRUE
31722110,67,Forest,0.500088605,864.6531987,177.89,233.22,1228.95,391.36,1152.13,1.998108407,94.28571429,51224.9939,TRUE
32122142,67,Forest,0.70029347,307.7637564,62.86,17.19,305.89,102.36,210.1,1.483444056,85.71428571,51224.9939,FALSE
39942574,68,Forest,12.42932752,2190.386883,120.41,57.99,817.39,885.44,2385.9,1.461911765,70,66241.98065,TRUE
40262632,68,Forest,4.979570727,812.6287389,74.42,58.59,562.81,371.44,1234.58,1.804913333,92.85714286,66241.98065,FALSE
40262620,69,Forest,4.883453562,1529.59994,34.41,16.33,257.45,306.56,1454.32,2.212819149,97.14285714,12000,TRUE
40262632,69,Forest,4.979570727,812.6287389,74.42,58.59,562.81,371.44,1234.58,1.804913333,92.85714286,12000,FALSE
40602702,70,Forest,1.67222007,463.344311,51.97,26.87,252.16,108.26,696.51,1.935497788,94.59459459,84095.18417,FALSE
40962778,70,Forest,1.402664933,193.7296068,86.2,7.52,98.65,127.86,910.67,1.58590597,69.23076923,84095.18417,TRUE
30182092,71,Forest,0,116.8937704,49.05,21.08,279.01,136.04,301.98,1.274020619,50,106301.4581,FALSE
31222070,71,Forest,0.542203885,421.2924188,162.55,101.75,631.12,279.51,788.37,1.103635227,53.33333333,106301.4581,TRUE
41883154,72,Forest,0.88795045,176.8008008,53.35,5.94,105.72,96.16,1046.54,1.758911523,89.18918919,60000,TRUE
42483154,72,Forest,0.891632115,105.41073,39.77,4.35,81.98,65.71,506.85,1.385355337,50,60000,FALSE
42183148,73,Forest,2.315527682,257.8313149,190.23,22.73,238.62,74.72,2501.44,1.259645946,59.375,30594.11708,TRUE
42483154,73,Forest,0.891632115,105.41073,39.77,4.35,81.98,65.71,506.85,1.385355337,50,30594.11708,FALSE
32522074,74,Forest,0.281546811,374.4572592,79.39,23.51,421.21,117.46,218.92,0.926471459,57.14285714,74215.90126,TRUE
32702146,74,Forest,2.29327018,463.3170186,106.4,54.58,571.33,158.83,1008.3,0.976258364,68.42105263,74215.90126,FALSE
32702146,75,Forest,2.29327018,463.3170186,106.4,54.58,571.33,158.83,1008.3,0.976258364,68.42105263,80448.74144,FALSE
33162080,75,Forest,0.454558911,245.0932504,64.49,14.91,306.63,31.52,215.72,1.157590054,24,80448.74144,TRUE
46163088,76,Forest,0.81372549,60.87683824,165.82,16.15,126.06,33.67,275.2,0.539962291,38.46153846,100319.4896,TRUE
47083048,76,Forest,0.34646098,430.0735632,41.56,111.3,562.11,115.15,383.8,2.073904839,90.32258065,100319.4896,FALSE
47083048,77,Forest,0.34646098,430.0735632,41.56,111.3,562.11,115.15,383.8,2.073904839,90.32258065,118152.4439,FALSE
48263042,77,Forest,2.426786135,397.379706,40.52,13.7,227.38,259.21,1093.7,1.59942,94.73684211,118152.4439,TRUE
31141720,78,Forest,0.314054054,525.0983784,24.81,22.4,342.1,132.84,320.83,2.199375,100,61773.78085,FALSE
31441666,78,Forest,0.593361702,236.7513191,45.02,30.16,406.82,381.2,540.74,1.257342417,17.64705882,61773.78085,TRUE
31141720,79,Forest,0.314054054,525.0983784,24.81,22.4,342.1,132.84,320.83,2.199375,100,122800.6515,FALSE
32201782,79,Forest,1.957699805,763.1901235,63.19,82.35,651.09,317.43,627.54,2.057539267,78.94736842,122800.6515,TRUE
32902338,80,Forest,2.119148936,267.7544681,222.94,54.77,578.06,248,2553.46,1.806706122,88.88888889,83450.58418,FALSE
33502280,80,Forest,4.836220472,889.080315,60.46,16.78,254.63,683.06,2250.3,2.098816327,97.2972973,83450.58418,TRUE
47262412,81,Forest,5.854292343,990.3511214,21.04,7.6,138.05,350.76,1606.09,1.770171598,91.89189189,79924.96481,TRUE
47942370,81,Forest,1.018001978,607.0904055,57.16,50.51,354.56,147.16,386.96,2.177023474,94.59459459,79924.96481,FALSE
37202358,82,Forest,0.914936616,342.0744687,49.37,12.58,142.04,117.08,707.25,1.889296552,82.14285714,40249.2236,FALSE
37562340,82,Forest,0.983186855,424.6310024,110.37,114.22,647.72,318.76,888.32,1.966205882,97.14285714,40249.2236,TRUE
53381850,83,Forest,1.461267606,917.0374283,61.86,38.02,412.17,93.83,451.09,1.769987973,90,206891.2758,FALSE
54401670,83,Forest,1.322767075,448.5197898,34.55,12.67,265.27,269.44,478.85,0.801396774,25.80645161,206891.2758,TRUE
56702146,84,Forest,0.575789109,149.3309053,26.38,18.28,211.11,295.32,659.94,1.377046841,40,21633.30765,TRUE
56882134,84,Forest,0.968078576,185.2257008,76.71,54.66,531.65,180.73,519.35,1.752066489,57.89473684,21633.30765,FALSE
47282676,85,Forest,0.880917003,153.0916295,50.67,4.81,81.61,49.27,676.55,1.608282369,83.78378378,92649.87858,TRUE
47502586,85,Forest,2.274708675,171.5166163,77.84,8.51,117.09,68.27,765.54,1.047576389,82.60869565,92649.87858,FALSE
47362636,86,Forest,1.834166026,349.2996413,109.77,24.73,245.2,197.33,1311.2,1.185206573,55.88235294,51923.01994,TRUE
47502586,86,Forest,2.274708675,171.5166163,77.84,8.51,117.09,68.27,765.54,1.047576389,82.60869565,51923.01994,FALSE
47502586,87,Forest,2.274708675,171.5166163,77.84,8.51,117.09,68.27,765.54,1.047576389,82.60869565,142688.4719,FALSE
47642728,87,Forest,4.450017295,636.4003228,627.19,67.07,634.25,424.14,2991.51,1.572347561,89.28571429,142688.4719,TRUE
37342800,88,Forest,0.784389219,88.86839342,37.7,6.99,99.62,139.31,1035.87,1.050509284,76,176181.7244,TRUE
38462664,88,Forest,1.016387538,462.526082,32.45,60.14,502.22,139.43,484.87,1.057820402,76,176181.7244,FALSE
28102114,89,Forest,0.369015048,88.09051528,36.39,7.15,101.32,74.54,487.12,1.45787931,33.33333333,42755.11665,FALSE
28522106,89,Forest,2.717001056,662.1068638,72.65,44.47,422,277.99,1024.17,0.482816327,16.21621622,42755.11665,TRUE
28102114,90,Forest,0.369015048,88.09051528,36.39,7.15,101.32,74.54,487.12,1.45787931,33.33333333,105603.0303,FALSE
28542018,90,Forest,0.828205555,132.1816065,26.97,15.79,193.27,123.66,233.24,1.668287024,26.66666667,105603.0303,TRUE
56102380,91,Forest,1.037690752,351.7975118,92.89,25.59,223.14,153.29,673.51,1.839933333,94.87179487,8485.281374,FALSE
56162386,91,Forest,1.908618276,802.0069319,43.71,23.11,322.04,225.39,667.8,2.058759398,92.10526316,8485.281374,TRUE
56102380,92,Forest,1.037690752,351.7975118,92.89,25.59,223.14,153.29,673.51,1.839933333,94.87179487,106901.8241,FALSE
57122348,92,Forest,0.857842248,472.3851315,39.11,9.66,159.11,393,867.02,1.635439349,80,106901.8241,TRUE
48941830,93,Forest,1.886363636,578.0656566,53.64,28.12,271.07,620.12,1044.5,1.44023065,65,397079.3372,TRUE
52601984,93,Forest,1.203781898,301.2908635,13.71,2.46,74.26,173.26,542.07,1.518166667,65.78947368,397079.3372,FALSE
52561940,94,Forest,0.562511147,215.2542655,38.15,23.65,198.12,126.91,443.71,1.962810954,77.77777778,44181.44407,TRUE
52601984,94,Forest,1.203781898,301.2908635,13.71,2.46,74.26,173.26,542.07,1.518166667,65.78947368,44181.44407,FALSE
54662028,95,Forest,0.995754891,218.6881998,19.31,3.3,63.38,128.58,520,1.083712082,56,169056.2037,TRUE
55402180,95,Forest,1.293338527,422.8678094,70.92,28.57,212.65,107.97,634.36,1.325310078,64.28571429,169056.2037,FALSE
53323834,96,Forest,15.3847352,2819.931464,216.01,240.93,787.1,436.1,14490.38,1.397016129,56.25,78409.18314,TRUE
53403912,96,Forest,1.675536796,248.5074937,54.69,17.4,232.41,191.52,980.96,0.67153413,66.66666667,78409.18314,FALSE
54102674,97,Forest,1.309201213,370.5710819,58.51,66.33,401.59,127.67,751.16,2.005656061,97.43589744,39849.71769,FALSE
54482686,97,Forest,1.805934066,475.5261538,46.36,41.04,487.69,328.59,908.13,2.2270125,97.36842105,39849.71769,TRUE
53702216,98,Forest,0.847579425,240.7648764,14.69,8.98,144.78,89.01,187.63,1.121208571,58.82352941,95036.83496,TRUE
54642202,98,Forest,0.757664485,204.0738317,29.68,12.51,168.09,75.18,373.25,1.129684061,80,95036.83496,FALSE
54982632,99,Forest,1.796392786,520.6101536,173.7,64.39,417.87,87.45,921.92,1.383111888,80.55555556,26907.24809,TRUE
55162612,99,Forest,1.653666808,516.3076162,73.27,53.78,454.68,142.49,869.94,1.657688925,93.93939394,26907.24809,FALSE
55742656,100,Forest,1.8892261,587.0875063,109.4,33.38,253.65,260.72,988.62,1.92350625,94.59459459,34234.48554,FALSE
55782690,100,Forest,2.165712978,592.9240864,60.62,16.29,200.41,122.96,1401.32,2.250484234,94.28571429,34234.48554,TRUE
42763084,101,Forest,0.460791117,79.16007402,73.63,14.49,147.79,133.83,516.13,0.863536765,57.14285714,18000,TRUE
42943084,101,Forest,0.458088996,67.2722778,37.03,6.62,86.98,39.93,753.24,1.302596341,74.28571429,18000,FALSE
51363072,102,Forest,0.87416016,228.5175232,34.03,30.88,228.12,78.55,408.96,1.436727494,73.52941176,114856.4321,FALSE
51503186,102,Forest,0.518659955,56.20737141,46.11,16.29,171.43,80.28,397.7,0.526225,53.84615385,114856.4321,TRUE
35282092,103,Agriculture,0.865671642,178.6567164,26.85,55.39,429.41,88.98,121.5,1.52835446,28.20512821,12000,FALSE
35402092,103,Agriculture,0.461031071,479.0400972,63.2,39.81,409.31,73.66,90.53,1.421406725,39.47368421,12000,TRUE
53641966,104,Agriculture,0.437532947,162.9372694,51.31,48.74,346.51,112.13,442.36,1.531106838,60.86956522,58309.51895,FALSE
53861912,104,Agriculture,0.627815025,254.2936221,49.29,36.16,437.41,84.64,319.27,1.992318015,55.26315789,58309.51895,TRUE
35642110,105,Agriculture,1.031444172,295.1493127,58.64,107.44,553.66,129.73,172.78,1.573590331,69.6969697,11661.90379,FALSE
35702100,105,Agriculture,0,520.4584899,87.07,68.16,462.68,117.08,135.12,1.425803672,44.82758621,11661.90379,TRUE
36442800,106,Agriculture,1.234659725,311.9985125,30.34,24.18,214.08,111.86,443.99,1.814854015,79.48717949,33286.63395,FALSE
36722782,106,Agriculture,0.652026424,282.4953877,40.94,64.62,476.4,139.91,499.78,1.315709574,73.68421053,33286.63395,TRUE
40783066,107,Agriculture,0.43147448,420.831443,55.84,162.74,824.89,132.49,476.93,2.129839655,73.68421053,108240.473,TRUE
41823036,107,Agriculture,0.554177795,401.5202849,63.49,107.44,652.59,115.76,456.63,1.729514381,55.26315789,108240.473,FALSE
