FID,names,PA
399,46383708,0
400,54581630,0
401,30662118,0
402,32682126,0
403,37362918,0
404,34862944,0
405,38343016,0
406,54361648,0
407,28522106,1
408,35062950,0
409,38922830,0
410,47282676,0
411,47164540,0
412,30922224,1
413,41722878,0
414,35582196,0
415,34242272,1
416,41622476,0
417,40322908,0
418,39023026,0
419,27742232,0
420,50424512,0
421,45124486,0
422,49624302,0
423,45342706,0
424,45644484,0
425,39962440,0
426,34202866,0
427,40783066,0
428,40602702,0
429,50504430,0
430,46642928,0
431,34662184,1
432,52004440,0
433,28721676,0
434,38722726,0
435,46762986,0
436,27101814,0
437,47344522,0
438,30402208,0
439,33622266,0
440,34562164,0
441,33502280,1
442,51363400,1
443,52584544,0
444,52364404,0
445,48941830,1
446,37882584,0
447,34442320,0
448,50004308,0
449,34723194,0
450,50324550,0
451,35423508,0
452,43562476,0
453,50324560,0
454,40903100,0
455,45403766,0
456,51944466,0
457,29181908,0
458,50263082,0
459,32061692,0
460,46923874,0
461,38982814,1
462,40642274,0
463,41303178,0
464,54662028,1
465,40782882,0
466,45844474,0
467,32902134,0
468,30182092,0
469,52544508,0
470,32142004,0
471,48442898,1
472,51782890,0
473,41883154,0
474,46364574,0
475,30682088,0
476,45384472,0
477,46602982,0
478,50284502,0
479,33982230,0
480,37382484,0
481,33542042,0
482,37222482,0
483,44522402,0
484,49224492,0
485,45163932,0
486,35462962,0
487,52283958,0
488,54301746,0
489,42543140,0
490,28222378,0
491,35562670,0
492,45424490,0
493,35482708,0
494,35442636,0
495,49423488,0
496,29482396,0
497,42843218,0
498,42483154,0
499,39422470,0
500,32901910,0
501,37642978,0
502,33462052,0
503,42603190,0
504,49142992,0
505,42183148,0
506,45324498,0
507,35782450,0
508,46804612,0
509,27361846,0
510,30622096,0
511,32461916,0
512,47902078,0
513,32621922,0
514,51222918,0
515,33062044,1
516,41763142,0
517,49364510,0
518,48142998,0
519,40962778,0
520,32401886,0
521,49384832,0
522,48422818,0
523,28282190,1
524,30982262,0
525,31682218,0
526,54361858,0
527,47083048,0
528,27982170,0
529,37282438,0
530,32702146,0
531,30502272,0
532,46324670,0
533,50241952,0
534,28801616,0
535,35922588,0
536,45763046,0
537,50644764,0
538,48903376,0
539,30802294,0
540,44402394,0
541,46723704,0
542,35342564,0
543,30621992,0
544,32361928,0
545,28302282,1
546,32281852,0
547,33342038,0
548,28602222,0
549,40022438,1
550,38942726,0
551,46422690,0
552,33622846,0
553,48724914,0
554,48924934,0
555,47103916,0
556,50584702,0
557,47942784,0
558,45242946,0
559,35062104,0
560,31141720,0
561,31361940,0
562,40262620,1
563,37562340,0
564,45683670,0
565,30561996,0
566,46163088,1
567,35162564,0
568,31142246,0
569,31081962,0
570,48504726,0
571,32541744,0
572,35742886,0
573,49164932,0
574,35042146,0
575,47623498,0
576,27881848,0
577,51242902,0
578,32281848,1
579,50822928,0
580,44784322,0
581,51784906,0
582,28921890,0
583,32961790,0
584,50783212,0
585,32902338,0
586,50943268,0
587,33322870,0
588,48623122,0
589,47582914,0
590,29281750,0
591,47821962,0
592,32321928,0
593,54101838,1
594,50284620,0
595,26942016,0
596,31601976,0
597,46463396,0
598,37962780,0
599,42722438,0
600,34082784,0
601,34902982,0
602,46623028,0
603,33762832,0
604,47942370,0
605,49343216,0
606,29542352,1
607,39082862,0
608,40382640,0
609,30721756,0
610,46282880,1
611,31141750,0
612,31761666,0
613,51464814,0
614,37923106,0
615,48903214,0
616,39122716,1
617,49443178,0
618,48883246,0
619,37202358,0
620,53381850,0
621,28642186,0
622,46843766,0
623,32201782,1
624,28542018,1
625,32882938,0
626,31441666,1
627,37802362,1
628,50063158,0
629,47362636,0
630,46302578,0
631,46264036,0
632,44383872,0
633,46383790,0
634,47302554,0
635,56882134,0
636,35142218,0
637,39783064,0
638,39162670,1
639,41062772,0
640,31261890,0
641,36662908,0
642,37162926,0
643,54422324,0
644,30342270,0
645,48223270,0
646,30902056,1
647,33342884,0
648,37342800,1
649,35922210,0
650,47502586,0
651,44564034,0
652,55722274,0
653,53561644,0
654,46302452,0
655,39383058,0
656,28402378,0
657,36862270,0
658,46183812,0
659,48142494,0
660,33903630,0
661,48524982,0
662,37682906,0
663,48004986,0
664,30122298,0
665,37082380,0
666,38462664,0
667,43062380,0
668,37022386,0
669,40482646,0
670,28282042,0
671,32522074,1
672,32782906,0
673,29002406,0
674,36562934,0
675,48084764,0
676,56702146,1
677,48422540,0
678,31361850,0
679,54581828,0
680,51124738,0
681,34982150,0
682,39082708,1
683,30881760,0
684,46683878,0
685,51664756,0
686,51464746,0
687,31722110,1
688,53782364,0
689,36062644,0
690,55282384,1
691,54022304,0
692,31701854,0
693,49523284,0
694,54902398,0
695,53323834,1
696,49483302,0
697,31681918,0
698,34282836,0
699,57022486,0
700,49144846,0
701,53902268,0
702,36382808,0
703,35843492,0
704,50424986,0
705,31222070,1
706,31202150,0
707,56382434,0
708,48584940,0
709,36142792,0
710,50664618,0
711,50844708,0
712,37903026,0
713,28102114,0
714,35182124,0
715,48544698,0
716,34262824,0
717,36303484,0
718,49523276,0
719,56102380,0
720,51183646,0
721,50904750,0
722,54202132,1
723,48004842,0
724,57422426,0
725,53542386,0
726,46263934,0
727,46284248,0
728,44083936,0
729,46503360,0
730,54902386,0
731,48204714,0
732,55622354,0
733,50265008,0
734,34762834,0
735,46323328,0
736,51103642,0
737,52601984,0
738,55402180,0
739,51823018,0
740,35402092,1
741,53702216,0
742,56162386,0
743,35882060,0
744,53303934,0
745,53403912,0
746,45183658,0
747,45904216,0
748,46663262,0
749,54122350,0
750,54462696,0
751,53842676,1
752,54102674,0
753,52882778,0
754,52242596,0
755,54902758,0
756,45024040,0
757,46444288,0
758,55462186,0
759,54382676,1
760,46604310,0
761,51663648,0
762,53122622,0
763,36282804,0
764,46524060,0
765,52362556,0
766,54642202,0
767,54082440,0
768,52502542,0
769,53462624,0
770,47584660,0
771,50604656,0
772,45323868,0
773,47144152,0
774,48204840,0
775,53982496,0
776,45143854,0
777,52383854,0
778,46064206,0
779,51583590,0
780,46903344,1
781,34882068,1
782,54922222,0
783,56202746,0
784,52782560,0
785,37103014,0
786,55202844,0
787,55162612,0
788,54382628,1
789,51903592,0
790,56562836,0
791,57622520,0
792,51743714,0
793,47404678,0
794,47544580,0
795,52342544,0
796,54762692,0
797,54482686,1
798,52042676,1
799,54262530,0
800,55142474,0
801,57942502,0
802,54982632,1
803,55742656,0
804,57962548,0
805,55962538,0
806,36722782,1
807,45564332,0
808,37622758,0
809,54662566,0
810,56842684,0
811,57482568,0
812,33343208,0
813,55622854,1
814,45284100,0
815,57062620,0
816,54902668,0
817,55942572,0
818,38362906,0
819,55382538,0
820,55162738,0
821,56922692,0
822,54702820,0
823,55942860,0
824,57762538,0
825,55722894,0
826,55882872,0
827,45884278,0
828,55382862,0
829,56822578,0
830,55602682,0
831,31783686,1
832,46784220,0
833,37962654,0
834,63681618,0
835,64601638,0
836,37242640,0
837,45184078,0
838,37362642,0
839,64141632,0
840,47864818,0
841,48804824,0
842,51903342,0
843,54961762,0
844,46064580,0
845,46664162,0
846,64841666,0
847,37242618,0
848,45964616,0
849,45643866,0
850,45884526,0
851,55022506,0
852,51863338,0
853,44844134,0
854,46924698,0
855,64081650,0
856,52561940,1
857,48363340,0
858,34503420,0
859,42763084,1
860,44444080,0
861,54401804,0
862,45464154,0
863,42683096,0
864,44884094,0
865,45203698,0
866,54841800,0
867,42943084,0
868,57122348,1
869,53242382,0
870,64061610,0
871,50963150,0
872,56742296,0
873,45743608,0
874,55482542,0
875,56682316,0
876,57122330,0
877,55362256,1
878,45743828,0
879,51363072,0
880,49203450,0
881,51483142,0
882,36962806,0
883,47462830,0
884,49063030,0
