"lc","Basal_respiration","Cmic","Xylosidase","Cellulase","beta.glucosidase","N.actylglucosaminidase","Acid.phosphatase","MWD","WSA","run"
"Agriculture",-0.299407707772308,0.362878608856685,0.154110808049593,-0.219931351245451,0.0347675692441455,0.246239429351305,0.195840988896357,-0.0382740326500716,0.308260569947878,500.5
"Forest",0.0660612727717269,0.172773259508168,-0.0454519968693964,0.114358398419157,0.0423293044706333,0.100227415502812,0.108849471983975,0.0257167084224325,-0.207487471199539,500.5
"Grassland",0.211102460597661,0.127277950874211,0.162687990954323,0.0781232341167114,0.158251459484605,0.170126343560897,0.212499147256997,-0.0309726298026467,0.0150521921253733,500.5
"Other",0.475406026665039,0.678504563329553,0.364227788386294,0.434943224865677,0.486801949734229,0.520399051825041,0.326139600036714,-0.192648115166006,0.627662194914594,500.5
