"lc","Basal_respiration","Cmic","Xylosidase","Cellulase","beta.glucosidase","N.actylglucosaminidase","Acid.phosphatase","MWD","WSA","run"
"Agriculture",-0.252724943025049,0.433720685269577,0.175389697053236,-0.165854093203534,0.0425264418271671,0.259958588854567,0.215962526851731,-0.0442364750573768,0.307261206297978,500.5
"Forest",0.087648803672435,0.209260940281802,-0.0284062788914845,0.134928054988203,0.0500880550538664,0.110811457350303,0.147189376972898,0.0249234578178329,-0.219711925505347,500.5
"Grassland",0.218590894915561,0.14188410909923,0.211704074177755,0.0846406361574007,0.162383173695897,0.171338775071135,0.231322186040603,-0.0334575118194895,0.0130784509720498,500.5
"Other",0.590663625384827,0.872313699789042,0.489675601888545,0.583248507776124,0.633476360089502,0.654762473375982,0.39100555484347,-0.195505662912307,0.66573036080748,500.5
