"lc","Basal_respiration","Cmic","Xylosidase","Cellulase","beta.glucosidase","N.actylglucosaminidase","Acid.phosphatase","MWD","WSA","run"
"Cropland",-0.343563964060605,0.458690753749794,0.176770543939846,-0.246046873628741,0.00806702291642274,0.0480215163813376,-0.190309824678027,0.0442703045842779,0.185321200257458,500.5
"Grassland",0.154682630572037,0.00882991368154957,0.104365318705228,-0.059748020607085,0.0466328320277274,0.00144293025420448,0.108978736879928,0.0689276762034829,-0.0110778708279639,500.5
"Other",0.322005582311082,0.777509365321667,0.193193116386676,0.563422373747233,0.493828346230315,0.452653998154881,0.10560632170167,-0.200996485624223,0.702905858389938,500.5
"Woodland",-0.301152751872294,-0.0236792206601353,-0.245557604272231,0.188583709996448,-0.0465147172871261,-0.0632149637223148,-0.102039864785826,0.167188283764297,0.0824988616128258,500.5
