"lc","Basal_respiration","Cmic","Xylosidase","Cellulase","beta.glucosidase","N.actylglucosaminidase","Acid.phosphatase","MWD","WSA","run"
"Cropland",-0.896005479770419,-0.136536882806935,-0.369668470072405,-0.791617950549905,-0.528981689935633,-0.490583798247984,-0.736612603655776,-0.492367301235073,-0.355770283657135,500.5
"Grassland",-0.402557133522773,-0.54781685730415,-0.452397031813482,-0.614806854290607,-0.510669199568784,-0.549273759251439,-0.446650390898379,-0.488884593081795,-0.570879549563216,500.5
"Other",-0.685261420258085,-0.290395714176165,-0.796516720742004,-0.492130522056933,-0.529174398392381,-0.564301931442081,-0.885616812663954,-1.19381716809061,-0.352630364800815,500.5
"Woodland",-0.79217587008449,-0.515966922961754,-0.734385947792522,-0.311044350534587,-0.536651932371213,-0.54525948701008,-0.593220416809285,-0.328047970753064,-0.410740374293076,500.5
