"lc","Basal_respiration","Cmic","Xylosidase","Cellulase","beta.glucosidase","N.actylglucosaminidase","Acid.phosphatase","MWD","WSA","run"
"Agriculture",-0.258140477518443,0.443014699953925,0.179148047704376,-0.169408109486467,0.0434377227234635,0.265529130044308,0.220590295284268,-0.045184399522892,0.313845375004363,500.5
"Forest",0.0886922418113925,0.211752141951823,-0.0287444488782878,0.13653434135711,0.0506843414235553,0.112130641366378,0.148941631460671,0.0252201656489976,-0.222327543666125,500.5
"Grassland",0.22119316747408,0.143573205636126,0.214224360775109,0.0856482627783221,0.164316306716086,0.17337852239341,0.234076021588706,-0.0338558155316262,0.0132341468169551,500.5
"Other",0.611758754862857,0.903467760495794,0.507164016241707,0.604078811625271,0.656100515806984,0.678146847425125,0.404970038945022,-0.202488008016318,0.689506445122033,500.5
